Imagen	Pes	Vta
OPMM_Subasta_2025-05-31_04_55_26.795_Imedea.jpg	003.80	0300
OPMM_Subasta_2025-05-31_04_55_50.295_Imedea.jpg	004.15	0305
OPMM_Subasta_2025-05-31_04_55_59.695_Imedea.jpg	003.85	0308
OPMM_Subasta_2025-05-31_04_56_22.895_Imedea.jpg	004.00	0314
OPMM_Subasta_2025-05-31_04_56_37.795_Imedea.jpg	001.45	0317
OPMM_Subasta_2025-05-31_04_56_56.996_Imedea.jpg	004.35	0321
OPMM_Subasta_2025-05-31_04_57_35.796_Imedea.jpg	003.60	0328
OPMM_Subasta_2025-05-31_04_59_09.497_Imedea.jpg	003.05	0344
OPMM_Subasta_2025-05-31_04_59_15.797_Imedea.jpg	004.20	0345
OPMM_Subasta_2025-05-31_04_59_18.997_Imedea.jpg	001.95	0346
OPMM_Subasta_2025-05-31_04_59_23.197_Imedea.jpg	002.05	0347
OPMM_Subasta_2025-05-31_04_59_25.297_Imedea.jpg	002.20	0348
OPMM_Subasta_2025-05-31_05_00_02.197_Imedea.jpg	003.80	0356
OPMM_Subasta_2025-05-31_05_00_05.297_Imedea.jpg	001.40	0357
OPMM_Subasta_2025-05-31_05_00_09.597_Imedea.jpg	003.35	0358
OPMM_Subasta_2025-05-31_05_00_12.797_Imedea.jpg	002.05	0359
OPMM_Subasta_2025-05-31_05_00_16.997_Imedea.jpg	003.25	0360
OPMM_Subasta_2025-05-31_05_00_20.097_Imedea.jpg	003.65	0361
OPMM_Subasta_2025-05-31_05_00_24.397_Imedea.jpg	001.80	0362
OPMM_Subasta_2025-05-31_05_00_28.597_Imedea.jpg	002.10	0363
OPMM_Subasta_2025-05-31_05_00_33.897_Imedea.jpg	003.20	0364
OPMM_Subasta_2025-05-31_05_00_39.097_Imedea.jpg	002.20	0365
OPMM_Subasta_2025-05-31_05_00_44.497_Imedea.jpg	004.30	0366
OPMM_Subasta_2025-05-31_05_00_50.897_Imedea.jpg	003.15	0368
OPMM_Subasta_2025-05-31_05_01_09.798_Imedea.jpg	003.95	0372
OPMM_Subasta_2025-05-31_05_01_12.998_Imedea.jpg	003.70	0373
OPMM_Subasta_2025-05-31_05_01_17.298_Imedea.jpg	004.15	0374
OPMM_Subasta_2025-05-31_05_01_20.398_Imedea.jpg	002.05	0375
OPMM_Subasta_2025-05-31_05_01_23.498_Imedea.jpg	002.05	0376
OPMM_Subasta_2025-05-31_05_01_27.698_Imedea.jpg	001.90	0377
OPMM_Subasta_2025-05-31_05_02_01.698_Imedea.jpg	003.75	0384
OPMM_Subasta_2025-05-31_05_03_52.099_Imedea.jpg	002.05	0401
OPMM_Subasta_2025-05-31_05_04_00.599_Imedea.jpg	002.00	0403
OPMM_Subasta_2025-05-31_05_04_05.899_Imedea.jpg	001.65	0404
OPMM_Subasta_2025-05-31_05_04_16.499_Imedea.jpg	003.80	0406
OPMM_Subasta_2025-05-31_05_04_23.899_Imedea.jpg	004.05	0408
OPMM_Subasta_2025-05-31_05_04_28.199_Imedea.jpg	003.65	0409
OPMM_Subasta_2025-05-31_05_04_40.799_Imedea.jpg	001.95	0412
OPMM_Subasta_2025-05-31_05_04_46.099_Imedea.jpg	001.95	0413
OPMM_Subasta_2025-05-31_05_04_51.499_Imedea.jpg	003.55	0414
OPMM_Subasta_2025-05-31_05_04_54.699_Imedea.jpg	004.45	0415
OPMM_Subasta_2025-05-31_05_04_57.899_Imedea.jpg	003.35	0416
OPMM_Subasta_2025-05-31_05_05_01.099_Imedea.jpg	003.75	0417
OPMM_Subasta_2025-05-31_05_05_04.099_Imedea.jpg	003.80	0418
OPMM_Subasta_2025-05-31_05_11_25.303_Imedea.jpg	000.65	0487
OPMM_Subasta_2025-05-31_05_21_00.808_Imedea.jpg	003.65	0606
OPMM_Subasta_2025-05-31_05_21_19.908_Imedea.jpg	003.35	0610
OPMM_Subasta_2025-05-31_05_21_30.409_Imedea.jpg	003.55	0612
OPMM_Subasta_2025-05-31_05_21_39.909_Imedea.jpg	003.85	0614
OPMM_Subasta_2025-05-31_05_21_52.609_Imedea.jpg	003.05	0617
OPMM_Subasta_2025-05-31_05_21_56.709_Imedea.jpg	003.55	0618
OPMM_Subasta_2025-05-31_05_22_04.109_Imedea.jpg	004.05	0620
OPMM_Subasta_2025-05-31_05_22_26.309_Imedea.jpg	003.45	0625
OPMM_Subasta_2025-05-31_05_22_30.609_Imedea.jpg	003.40	0626
OPMM_Subasta_2025-05-31_05_22_44.409_Imedea.jpg	003.45	0628
OPMM_Subasta_2025-05-31_05_22_50.609_Imedea.jpg	003.55	0629
OPMM_Subasta_2025-05-31_05_22_58.109_Imedea.jpg	002.35	0631
OPMM_Subasta_2025-05-31_05_23_03.409_Imedea.jpg	003.00	0632
OPMM_Subasta_2025-05-31_05_23_09.709_Imedea.jpg	003.10	0634
OPMM_Subasta_2025-05-31_05_23_13.009_Imedea.jpg	003.10	0635
OPMM_Subasta_2025-05-31_05_23_25.810_Imedea.jpg	002.90	0638
OPMM_Subasta_2025-05-31_05_23_41.410_Imedea.jpg	003.20	0642
OPMM_Subasta_2025-05-31_05_23_43.610_Imedea.jpg	003.55	0643
OPMM_Subasta_2025-05-31_05_47_19.622_Imedea.jpg	003.50	0900
OPMM_Subasta_2025-05-31_05_47_27.022_Imedea.jpg	003.05	0901
OPMM_Subasta_2025-05-31_05_47_36.322_Imedea.jpg	001.50	0903
OPMM_Subasta_2025-05-31_05_47_46.822_Imedea.jpg	003.55	0905
OPMM_Subasta_2025-05-31_05_48_22.322_Imedea.jpg	001.30	0912
OPMM_Subasta_2025-05-31_05_48_31.822_Imedea.jpg	001.35	0914
OPMM_Subasta_2025-05-31_05_48_36.022_Imedea.jpg	003.30	0915
OPMM_Subasta_2025-05-31_05_48_40.322_Imedea.jpg	000.50	0916
OPMM_Subasta_2025-05-31_05_48_45.522_Imedea.jpg	001.35	0917
OPMM_Subasta_2025-05-31_05_48_48.622_Imedea.jpg	001.85	0918
OPMM_Subasta_2025-05-31_05_48_53.922_Imedea.jpg	003.25	0919
OPMM_Subasta_2025-05-31_05_48_57.023_Imedea.jpg	001.50	0920
OPMM_Subasta_2025-05-31_05_49_02.223_Imedea.jpg	003.70	0921
OPMM_Subasta_2025-05-31_05_49_06.623_Imedea.jpg	002.85	0922
OPMM_Subasta_2025-05-31_05_49_37.323_Imedea.jpg	001.30	0929
OPMM_Subasta_2025-05-31_05_49_41.523_Imedea.jpg	001.45	0930
OPMM_Subasta_2025-05-31_05_49_46.923_Imedea.jpg	001.40	0931
OPMM_Subasta_2025-05-31_05_49_51.223_Imedea.jpg	004.10	0932
OPMM_Subasta_2025-05-31_05_56_24.326_Imedea.jpg	003.60	1005
OPMM_Subasta_2025-05-31_05_56_33.927_Imedea.jpg	003.80	1008
OPMM_Subasta_2025-05-31_05_56_55.027_Imedea.jpg	004.15	1013
OPMM_Subasta_2025-05-31_05_57_03.427_Imedea.jpg	003.85	1015
OPMM_Subasta_2025-05-31_05_57_32.027_Imedea.jpg	001.35	1022
OPMM_Subasta_2025-05-31_05_57_36.227_Imedea.jpg	003.80	1023
OPMM_Subasta_2025-05-31_05_58_18.627_Imedea.jpg	003.05	1034
OPMM_Subasta_2025-05-31_05_58_27.128_Imedea.jpg	004.30	1036
OPMM_Subasta_2025-05-31_05_58_51.228_Imedea.jpg	003.50	1037
OPMM_Subasta_2025-05-31_05_59_13.528_Imedea.jpg	001.30	1041
OPMM_Subasta_2025-05-31_05_59_19.928_Imedea.jpg	003.60	1043
OPMM_Subasta_2025-05-31_05_59_25.228_Imedea.jpg	003.50	1044
OPMM_Subasta_2025-05-31_06_00_17.628_Imedea.jpg	003.25	1057
OPMM_Subasta_2025-05-31_06_00_20.829_Imedea.jpg	003.95	1058
